"Study","r","N","Instrument_Type"
"Violin, viola",0.67,109,"Strings"
"Strings",0.51,55,"Strings"
"Piano",0.4,19,"Non-Strings"
"Piano",0.46,30,"Non-Strings"
"Piano",0.47,19,"Non-Strings"
"Piano",0.228,52,"Non-Strings"
"Piano",-0.224,24,"Non-Strings"
"Piano",0.104,52,"Non-Strings"
"Piano",0.322,16,"Non-Strings"
"All",0.231,97,"Non-Strings"
"Piano",0.67,57,"Non-Strings"
"Piano",0.41,107,"Non-Strings"
"Band",0.34,178,"Strings"
"Music majors",0.31,64,"Strings"
"Music majors",0.54,19,"Strings"
"All",0.583,135,"Strings"
