"Response_ID","Belief_in_God","Age"
"R_3CWnk1HLg4xvno1","1",29
"R_cNGf7xP5lOt788t","100",31
"R_71cMWWULx1goLvD","85",32
"R_9uDP25mB9pumw85","100",22
"R_1UhmDpohKJNQBVj","100",59
"R_cThXlfiohNg1F2d","100",24
"R_6xTUQh0mj3RJCe1","0",40
"R_3Q061tIJZn6rKtv","90",37
"R_bvc7MaXekBkrnJX","15",32
"R_0AFz6SGt9G8QaQB","100",61
"R_9oADoBkvroD9xul","60",28
"R_6A1KDn0VNu38bK5","50",47
"R_aaTIsr9QEINRVit","98",31
"R_7Omq4CAxYEKwDlP","25",29
"R_7VyfwrVQ6cI7wC9","0",48
"R_eyBGReFCPZlC9EN","100",35
"R_0NenlbL7Y4wrFyZ","100",59
"R_7TFYmTHkIybSx01","0",35
"R_diBm87GVY9oZOLz","20",29
"R_aac1T0KIt94GwYJ","90",40
"R_bO6AktYCz9KQm0d","2",29
"R_8kPSTAAqd8ZqZxj","18",26
"R_0cZMP03YlZlupoh","100",21
"R_4Yj9S1xTXzSkbit","100",34
"R_eeq2bHrafmWg60d","100",51
"R_cNixJqqOebjZk2h","100",22
"R_0DPRk21B7gjjGw5","75",31
"R_d0jmvEDVnkwPEqN","2",47
"R_eJOpEav9a6xXQgt","10",37
"R_3CtjKwXVA06uQiF","99",35
"R_2rVzDO2SaIfeJxj","20",33
"R_ahH2jcDLdUc7k2N","100",49
"R_8CkKYQrLpmke8yp","10",31
"R_cu1GyqHXCHasqqN","0",58
"R_25eZd00Lqx6gukR","100",48
"R_1ROaB5tF3S5ykhn","0",20
"R_eM7YvJCg7TTJyMR","10",19
"R_5134MoSqCLd0QgB","100",44
"R_54EIvfvczpj4uFL","20",30
"R_0Ioo4muG9XtS1lH","0",38
"R_7QEdMU4DBBDsTE9","100",49
"R_6MDiVub7Yb65cnH","50",41
"R_cAyb364vUDVO9Df","0",33
"R_d0av2CIaJWcCF8x","0",27
"R_d0d7t0PxKbDcfXf","0",25
"R_dnW4gdkUHDL9Gp7","100",44
"R_7QUC4126KhzjCId","10",32
"R_9uWn43tWyIYGpmt","0",44
"R_0wuiWxZoB9Cbpjv","50",60
"R_6sX0ktgPXN1kc6h","50",35
"R_3WaeDOKtwEUWG5T","0",43
"R_80xbrr8clfQ2ASh","60",44
"R_6x4XYAH1KfAEPKR","100",22
"R_dmQxYp7wbPsFSrb","5",65
"R_3z01kmPyAFNSBmt","0",49
"R_0czcmYVrzJsaEvj","0",27
"R_bQP28o1cYwjWmPP","80",36
"R_eg2S0HwrFyihGTP","100",26
"R_8DqpEF2yGWUwnhb","100",28
"R_4OsJfIgYXamLM4B","0",28
"R_0J82yXW4mXcyJjD","0",20
"R_0PR0zLDTmZVyPzv","100",67
"R_cvyctrD9iDnB0Zn","0",53
"R_51MLT2GnKm7RJDn","100",39
"R_6u13ILUwt54WCYl","0",24
"R_emTWuUEi2NfU8n3","0",25
"R_9tp3Py5y9Q6rsTX","100",41
"R_1TaGNWHkJbOlE5n","50",41
"R_0GIF62mVLhYlTdb","20",52
"R_cYLEqS9wWCKWKEd","100",50
"R_07Z9pfEErk7A0zX","1",25
"R_8GHoF7wKRrhCoK1","10",27
"R_8oIFtYF0G4FLd89","90",23
"R_07ZdJP8uhBWo2rP","20",24
"R_26kjECGjbJJeeW1","40",30
"R_7NHanxCxnvaY2gZ","0",29
"R_5dUAye95qGo8iZT","100",67
"R_9F7CruibKLhPHVP","75",42
"R_39KzUpwXtjdtT0x","8",27
"R_5nV3OPBBowo4xsp","0",48
"R_eFnG9bHovFiA5vf","40",31
"R_3Rd3HWbNPUzpfi5","100",31
"R_3V0qisorOybHWy9","100",31
"R_87zVHQ2VoyaWrjL","65",25
"R_diNtmrdWTGr0xY9","100",45
"R_bDu1WFb9FRrm64l","0",28
"R_8AlPhZDNfuxfK1T","2",28
"R_2hq7taz8t1TEdIp","25",24
"R_8HSJNPjBDT5NYWx","100",61
"R_77GSybUMewr84dv","100",41
"R_42Y4EMU4f2gKlN3","80",39
"R_4PzCCKlmCJkU9nL","100",32
"R_8BKJh9yH52bunvD","0",28
"R_b2wIq0owCg2sH7D","70",32
"R_2lCyzBDsKX99Pp3","100",51
"R_6EDipv89TZVNVE9","100",50
"R_3xcIkqXaD0Pjijb","5",22
"R_1Adz4hqllKiI06h","25",20
"R_bPkx8WpGxVyLKjH","90",40
"R_1AeSQmR8N0B3A57","10",37
"R_40Ew4ExagInAAst","10",25
"R_0SQPH3KusbpHtsN","0",65
"R_bHFnO7xrNbC2auF","100",27
"R_867fR838XI5TtZP","90",73
"R_3K3xUms6Z0Vu85f","100",71
"R_cDbV5Rfb2qb3pzf","1",32
"R_8ogN2cxRjnLoe69","100",42
"R_b47rafMwBwLwTtP","100",55
"R_ahk4XD4l0aFNdjL","0",32
"R_9KtHfEB1pfdqVLv","10",33
"R_b2XjZThBapbYq4R","100",62
"R_cIwCuJARutINIFf","100",64
"R_8CwRyLlOJezMOKF","65",37
"R_3xvKIrshCAaUzKR","75",31
"R_eEe5O9dubL2uQux","100",28
"R_e4FWXt3An348ta5","89",36
"R_dg7FVofzuBo9DNP","0",57
"R_2gIiLT3DkHxDn81","100",72
"R_eb9HpdERuKq27yt","1",25
"R_4Trsg81VAKzTLdH","20",27
"R_9t5gxRCKkVXuqOx","80",25
"R_07W0KJMoxpEr4yN","100",46
"R_9HnRThY4GPz9Rml","0",34
