"ID","Gender","Gender_Code","Age","Wealth_SR","School_Year","School_Year_Code","Transfer","Transfer_Code","GPA","Subjective_Well_Being","Positive_Affect","Negative_Affect","Academic_Engagement","Religious_Meaning","Health","Emotion_Recognition"
23613374,"Female","1",22,5,"Senior","4","No",FALSE,NA,3.4,4.6,1.3,2.4,4,2.5,"60%"
23613399,"Male","2",20,3,"Sophomore","2","No",FALSE,3.46,5.6,3,2.3,2.4,2.83,3,"55%"
23613431,"Female","1",21,3,"Junior","3","No",FALSE,3.5,6,4,3,1.8,3.5,2.75,"60%"
23613435,"Male","2",19,3,"Sophomore","2","No",FALSE,2.8,4.6,3.3,1.4,1.8,2.17,3,"80%"
23613437,"Male","2",19,3,"Sophomore","2","No",FALSE,2.6,3.2,1.8,1.3,2,1,2.25,"50%"
23613464,"Female","1",22,1,"Senior","4","Yes",TRUE,3,4.6,NA,NA,NA,NA,NA,NA
23613471,"Male","2",20,2,"Sophomore","2","No",FALSE,2.44,NA,NA,NA,NA,NA,NA,NA
23613477,"Female","1",20,NA,"Sophomore","2","No",FALSE,2.7,4.6,4,3.5,2.4,1,2.5,"53%"
23613479,"Female","1",21,3,"Senior","4","No",FALSE,3.4,4.6,3,4.3,2.2,4,2.5,NA
23613481,"Female","1",22,4,"Post-bac","5","No",FALSE,3.78,5.4,3.5,1.9,1.8,1,3.25,"75%"
23613486,"Female","1",21,5,"Junior","3","No",FALSE,3.2,3.8,NA,NA,NA,NA,NA,NA
23613488,"Female","1",20,2,"Sophomore","2","No",FALSE,3.14,4,2,1.89,NA,NA,NA,NA
23613495,"Female","1",21,2,"Senior","4","Yes",TRUE,3.82,2.8,2.2,2.6,1.4,2.83,2,"75%"
23613516,"Female","1",21,4,"Sophomore","2","No",FALSE,3.5,4.2,2.1,3.3,3.4,3.33,4.25,"60%"
23613525,"Female","1",19,4,"Sophomore","2","No",FALSE,2.8,NA,NA,NA,NA,NA,NA,NA
23613539,"Male","2",21,4,"Sophomore","2","No",FALSE,2.5,3.8,3.4,2.4,2,2.5,1.75,"65%"
23613544,"Female","1",19,2,"First-Year","1","No",FALSE,3.6,4.6,4.1,2.6,2.6,3.67,2,"65%"
23613633,"Male","2",22,2,"Senior","4","No",FALSE,2.8,4,3,2.7,4.8,2.33,2.25,"60%"
23613633,"Male","2",NA,2,"Senior","4","No",FALSE,NA,3.4,3,2.7,NA,NA,NA,NA
23613677,"Male","2",20,4,"Junior","3","No",FALSE,2.7,5.6,3.8,2.2,2.2,3,2.25,"45%"
23613681,"Female","1",21,3,"Junior","3","No",FALSE,3.8,2.2,1.4,2.8,NA,NA,NA,NA
23613699,"Female","1",19,3,"Sophomore","2","No",FALSE,2.89,5.2,3.56,2.5,2,1,1.25,"65%"
23613741,"Female","1",19,5,"Junior","3","No",FALSE,3.34,NA,NA,NA,NA,NA,NA,NA
23615045,"Female","1",18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23615050,"Female","1",18,3,"First-Year","1","No",FALSE,NA,5.2,4.2,2.1,3.6,3.67,1.25,"70%"
23615386,"Female","1",19,2,"First-Year","1","No",FALSE,2.56,4.6,2.11,1.5,1.8,3,2.5,"63%"
23615847,"Female","1",20,3,"Sophomore","2","No",FALSE,3.6,4.2,4.1,1.5,2.6,2.17,2,"70%"
23615874,"Female","1",19,NA,"First-Year","1","No",FALSE,3.6,5,3.8,2.1,2,3.5,2.25,"80%"
23615889,"Female","1",19,4,"Sophomore","2","No",FALSE,3.5,5.2,2.44,1.4,2.2,3,2.25,"60%"
23615907,"Female","1",19,1,"Sophomore","2","No",FALSE,3.86,1.6,3.1,3,2.6,1.33,1.25,"80%"
23615916,"Female","1",19,3,"Sophomore","2","Yes",TRUE,3.5,5.8,3.11,2.89,2,2,2,"40%"
23615932,"Female","1",21,3,"Senior","4","No",FALSE,3.6,3.6,3.3,4,2.2,3.5,4.25,"55%"
23615942,"Female","1",22,4,"Senior","4","No",FALSE,3.5,5.6,3.8,3.5,4.4,4,3.5,"60%"
23616016,"Female","1",21,3,"Senior","4","No",FALSE,3.2,4,2.8,3,4.2,4,1.25,"80%"
23616019,"Female","1",21,3,"Sophomore","2","No",FALSE,4,3.8,3.3,2.3,2.2,3,3.25,"80%"
23616021,"Male","2",18,3,"First-Year","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23616061,"Female","1",22,3,"Senior","4","Yes",TRUE,3,6.6,4.1,2.4,2.8,4,4,"75%"
23616107,"Female","1",19,2,"Sophomore","2","No",FALSE,2.9,4.4,3,2.3,1.6,3.33,1.75,"70%"
23616186,"Female","1",20,3,"Junior","3","No",FALSE,3.87,3.6,3,1.9,2,2.17,3,"80%"
23616197,"Female","1",20,4,"Junior","3","No",FALSE,3.8,5.4,3.5,2.5,2.2,4,1.75,"80%"
23616769,"Female","1",20,5,"Sophomore","2","No",FALSE,2.9,4.4,3.8,3.8,2.6,1,1.5,"75%"
23616883,"Female","1",21,3,"Junior","3","Yes",TRUE,3,4.2,2.9,2.3,1.4,4,1.5,"75%"
23617219,"Male","2",21,3,"Junior","3","No",FALSE,3.9,5.8,3.7,1.8,4,3.83,1.75,"75%"
23617357,"Female","1",20,3,"Junior","3","Yes",TRUE,3,6.6,4.6,1.2,2,4,1.25,"85%"
23619433,"Female","1",21,2,"Junior","3","Yes",TRUE,2.2,5.6,4.3,1.9,2.8,4,1.75,"72%"
23619436,"Male","2",21,3,"Junior","3","Yes",TRUE,2.6,NA,NA,NA,NA,NA,NA,NA
23619438,"Female","1",22,3,"Junior","3","Yes",TRUE,2.3,2.8,2.8,2.3,2.2,NA,NA,NA
23619448,"Male","2",21,3,NA,NA,NA,NA,NA,3.6,2.5,1.5,3,1.5,3,"75%"
23619927,"Male","2",19,4,"First-Year","1","No",FALSE,3.7,5,4.6,1.8,2.6,2.5,1.75,"50%"
23619935,"Male","2",18,3,"First-Year","1","No",FALSE,3.9,6,4.2,2.5,2.2,2.5,1.5,"80%"
23619967,"Female","1",18,2,"First-Year","1","No",FALSE,3.7,6.2,3.1,1.9,3,3.17,1.25,"75%"
23619979,"Male","2",21,4,"Junior","3","No",FALSE,3.75,4,NA,NA,NA,NA,NA,NA
23620068,"Female","1",21,3,"Junior","3","No",FALSE,3.996,5.8,2.5,1.6,2.8,2.67,2.5,"85%"
23620271,"Female","1",21,2,"Junior","3","No",FALSE,2.9,5.2,3.2,3.1,4.4,3.67,2.25,"60%"
23620300,"Female","1",20,3,"Sophomore","2","No",FALSE,3.1,4.2,3.3,1.9,2.8,3,2.75,"75%"
23620395,"Female","1",21,4,"Senior","4","No",FALSE,3.97,6.2,3.6,2.4,2.2,3.17,2.25,"75%"
23622822,"Female","1",25,NA,"Junior","3","Yes",TRUE,3.5,4.6,3.1,1.6,1.8,2.33,2.25,"75%"
23622830,"Female","1",19,3,"First-Year","1","No",FALSE,3.67,4.8,1.4,2.8,2,2.17,1.75,NA
23622831,"Female","1",19,3,"First-Year","1","No",FALSE,3.3,5.4,2.67,2.5,1.8,3,2.5,"60%"
23622844,"Female","1",18,3,"First-Year","1","No",FALSE,4,2.8,2,1.5,1.8,3.67,1.75,"70%"
23622850,"Female","1",21,3,"Junior","3","No",FALSE,3.95,7,3.9,1.5,1.8,4,1,"60%"
23622881,"Female","1",19,2,"First-Year","1","No",FALSE,2.9,5.6,2.9,3,2,3.33,4,"80%"
23622888,"Female","1",22,3,"Senior","4","No",FALSE,3.6,4,3.3,2.6,2,3.5,2.5,"65%"
23622911,"Female","1",20,3,"Sophomore","2","Yes",TRUE,3,NA,NA,NA,NA,NA,NA,NA
23622916,"Female","1",20,3,"Sophomore","2","Yes",TRUE,3,5.8,2.9,2.4,2,3.83,3.5,"75%"
23622949,"Female","1",20,3,"Sophomore","2","Yes",TRUE,NA,6,3.9,1.6,2.6,3.5,2,"80%"
23622974,"Female","1",20,2,"Sophomore","2","No",FALSE,3.5,3.6,3.5,1.7,4,1.5,2.25,"75%"
23622979,"Female","1",18,3,"First-Year","1","No",FALSE,3.2,4,2.9,1.8,2.6,3,2.5,"75%"
23623076,"Female","1",21,2,"Senior","4","No",FALSE,3.05,3.2,1.8,1.9,2.2,2.83,1.75,"80%"
23623221,"Female","1",21,2,"Senior","4","No",FALSE,3.5,5.4,3,2.5,1.6,1.83,2.75,"65%"
23623291,"Female","1",19,2,"First-Year","1","No",FALSE,4,4.8,3.5,1.7,2.4,3.33,1.5,"47%"
