"Exposure","Prediction","Performance"
"20",3.86,3.1066
"20",3.93,2.9869
"1",3.48,3.5173
"1",1.68,6.7852
"1",1,4.0785
"20",8.26,2.6353
"20",2,1.9325
"1",4,3.3223
"1",4.07,3.3439
"20",3.08,3.0109
"1",2.14,2.8996
"1",3.99,1.2989
"1",2.05,3.3088
"1",4.05,8.3215
"20",5.03,6.4721
"20",1.99,2.9586
"20",5.03,4.0337
"1",10,3.2003
"1",4,3.4184
"1",2.04,1.6782
"20",5.58,3.4309
"20",4.61,2.433
"1",2.1,3.753
"1",1.14,2.8813
"1",1,2.6388
"1",10,3.2529
"1",3,2.4598
"20",6.07,4.1626
"1",4,4.3864
"1",7.41,3.3097
"1",2.5,5.4549
"1",5.06,3.1058
"20",2.99,4.8802
"20",1.81,2.5434
"1",3.97,3.2207
"20",7.01,3.4005
"20",4.99,2.7692
"20",3.02,2.857
"1",2,3.6179
"1",1.9,4.6858
"1",2.03,2.4551
"20",3.5,2.7142
"20",2.99,3.1685
"1",2,3.9516
"20",6.37,3.2015
"20",6.82,6.9148
"1",2,4.1934
"20",6.58,2.4248
"1",1.25,3.6359
"1",3.03,2.8158
"1",5.99,7.4993
"20",7.48,2.9122
"1",3,3.9997
"1",1,2.729
"20",4.66,3.3147
"20",1.51,5.2824
"1",2.89,3.3048
"20",1.76,2.1828
"20",4.11,4.8028
"1",4.26,2.9084
"1",1.13,2.9238
"20",4,2.9941
"20",3.33,3.0012
"20",7.82,3.7852
"20",8.1,1.6874
"20",3.97,2.8585
"1",1.86,5.7233
"1",1,2.6814
"20",3.93,3.2157
"20",3.31,4.0305
"20",3,2.6993
"20",10,3.1122
"20",6.08,5.6375
"1",3.35,3.0654
"20",6.01,2.1565
"1",6.21,3.1611
"20",3,3.1701
"20",5.01,2.2647
"1",1.87,4.2495
"20",5.01,2.7486
"20",2.98,2.6144
"1",1.66,2.8973
"20",1.09,2.6972
"1",1,3.2549
"1",4,5.0341
"20",6.06,3.1825
"1",1,2.9751
"1",4.17,3.0949
"20",3.02,3.093
"1",6.5,1.2648
"1",2.9,4.5304
"1",3,2.9274
"20",2.83,2.9678
"20",5.53,1.2442
"20",1.52,4.2027
"1",2.96,2.7902
"20",5.01,3.6107
"20",4.35,5.2098
"1",2,2.2913
"20",5.39,4.3339
