"Group","Test%","Time"
"Reread",14.28571,25.15
"Reread",19.04762,12.98
"Reread",9.52381,23.72
"Reread",23.80952,12.13
"Reread",19.04762,38.45
"Reread",14.28571,14.57
"Reread",23.80952,14.07
"Reread",23.80952,22.5
"Reread",14.28571,7.4
"Reread",28.57143,10.3
"Reread",23.80952,14.92
"Reread",19.04762,31.52
"Reread",19.04762,7.17
"Reread",28.57143,16.72
"Reread",28.57143,20.97
"Reread",28.57143,15.6
"Reread",28.57143,10.32
"Reread",23.80952,16.73
"Reread",19.04762,12.28
"Reread",14.28571,13.2
"Reread",33.33333,11.02
"Reread",28.57143,20.53
"Reread",19.04762,13.22
"Reread",14.28571,14.25
"Reread",23.80952,15.92
"Reread",28.57143,15.85
"Reread",28.57143,20.37
"Reread",33.33333,17.42
"Reread",19.04762,35.63
"Reread",33.33333,13.92
"Reread",23.80952,38.45
"Reread",28.57143,22.98
"Reread",33.33333,15.6
"Reread",28.57143,14.38
"Reread",23.80952,21.73
"Reread",33.33333,13.5
"Reread",28.57143,16.68
"Reread",28.57143,16.62
"Reread",42.85714,29.25
"Reread",38.09524,21.42
"Reread",23.80952,14.58
"Reread",28.57143,12.62
"Reread",38.09524,9.68
"Reread",33.33333,18.95
"Reread",23.80952,15.73
"Reread",33.33333,12.7
"Reread",33.33333,24.77
"Reread",33.33333,14.55
"Reread",28.57143,20.87
"Reread",38.09524,14.08
"Reread",28.57143,14.33
"Reread",42.85714,24.88
"Reread",38.09524,22.08
"Reread",33.33333,38.45
"Reread",47.61905,26.65
"Reread",42.85714,22.7
"Reread",38.09524,18.55
"Reread",42.85714,12.18
"Reread",28.57143,32.35
"Reread",52.38095,13.23
"Reread",42.85714,25.85
"Reread",38.09524,28.18
"Reread",42.85714,NA
"Reread",47.61905,17.55
"Reread",38.09524,22.82
"Reread",33.33333,20.17
"Reread",38.09524,13.17
"Reread",38.09524,22.5
"Reread",42.85714,38.45
"Reread",52.38095,38.45
"Reread",47.61905,17.62
"Reread",42.85714,17
"Reread",47.61905,17.75
"Reread",52.38095,13.65
"Reread",52.38095,16.65
"Reread",52.38095,18.02
"Reread",52.38095,17.28
"Reread",38.09524,14.45
"Reread",57.14286,24.68
"Reread",38.09524,15.97
"Reread",52.38095,10.9
"Reread",61.90476,15.08
"Reread",57.14286,16.05
"Reread",66.66667,12.3
"Reread",52.38095,14.53
"Reread",61.90476,11.92
"Reread",57.14286,17.48
"Reread",66.66667,14.28
"Reread",52.38095,13.8
"Reread",66.66667,18.72
"Reread",66.66667,22.02
"Reread",61.90476,18
"Reread",66.66667,22.72
"Reread",76.19048,21.72
"Reread",76.19048,16.38
