"Group","Test%","Time"
"RR",14.28571,25.15
"RR",19.04762,12.98
"RR",9.52381,23.72
"RR",23.80952,12.13
"RR",19.04762,38.45
"RR",14.28571,14.57
"RR",23.80952,14.07
"RR",23.80952,22.5
"RR",14.28571,7.4
"RR",28.57143,10.3
"RR",23.80952,14.92
"RR",19.04762,31.52
"RR",19.04762,7.17
"RR",28.57143,16.72
"RR",28.57143,20.97
"RR",28.57143,15.6
"RR",28.57143,10.32
"RR",23.80952,16.73
"RR",19.04762,12.28
"RR",14.28571,13.2
"RR",33.33333,11.02
"RR",28.57143,20.53
"RR",19.04762,13.22
"RR",14.28571,14.25
"RR",23.80952,15.92
"RR",28.57143,15.85
"RR",28.57143,20.37
"RR",33.33333,17.42
"RR",19.04762,35.63
"RR",33.33333,13.92
"RR",23.80952,38.45
"RR",28.57143,22.98
"RR",33.33333,15.6
"RR",28.57143,14.38
"RR",23.80952,21.73
"RR",33.33333,13.5
"RR",28.57143,16.68
"RR",28.57143,16.62
"RR",42.85714,29.25
"RR",38.09524,21.42
"RR",23.80952,14.58
"RR",28.57143,12.62
"RR",38.09524,9.68
"RR",33.33333,18.95
"RR",23.80952,15.73
"RR",33.33333,12.7
"RR",33.33333,24.77
"RR",33.33333,14.55
"RR",28.57143,20.87
"RR",38.09524,14.08
"RR",28.57143,14.33
"RR",42.85714,24.88
"RR",38.09524,22.08
"RR",33.33333,38.45
"RR",47.61905,26.65
"RR",42.85714,22.7
"RR",38.09524,18.55
"RR",42.85714,12.18
"RR",28.57143,32.35
"RR",52.38095,13.23
"RR",42.85714,25.85
"RR",38.09524,28.18
"RR",42.85714,NA
"RR",47.61905,17.55
"RR",38.09524,22.82
"RR",33.33333,20.17
"RR",38.09524,13.17
"RR",38.09524,22.5
"RR",42.85714,38.45
"RR",52.38095,38.45
"RR",47.61905,17.62
"RR",42.85714,17
"RR",47.61905,17.75
"RR",52.38095,13.65
"RR",52.38095,16.65
"RR",52.38095,18.02
"RR",52.38095,17.28
"RR",38.09524,14.45
"RR",57.14286,24.68
"RR",38.09524,15.97
"RR",52.38095,10.9
"RR",61.90476,15.08
"RR",57.14286,16.05
"RR",66.66667,12.3
"RR",52.38095,14.53
"RR",61.90476,11.92
"RR",57.14286,17.48
"RR",66.66667,14.28
"RR",52.38095,13.8
"RR",66.66667,18.72
"RR",66.66667,22.02
"RR",61.90476,18
"RR",66.66667,22.72
"RR",76.19048,21.72
"RR",76.19048,16.38
"QR",9.52381,35.38
"QR",23.80952,26.02
"QR",23.80952,32.77
"QR",14.28571,30.87
"QR",23.80952,NA
"QR",28.57143,27.18
"QR",19.04762,36.32
"QR",23.80952,87.93
"QR",28.57143,66.3
"QR",28.57143,NA
"QR",23.80952,NA
"QR",23.80952,22.98
"QR",19.04762,29.75
"QR",23.80952,64.62
"QR",23.80952,98.83
"QR",23.80952,24.52
"QR",9.52381,131.05
"QR",19.04762,NA
"QR",33.33333,69.23
"QR",23.80952,31.05
"QR",23.80952,76.58
"QR",42.85714,59.92
"QR",23.80952,29.08
"QR",33.33333,38.88
"QR",28.57143,22.63
"QR",33.33333,52.3
"QR",14.28571,23.52
"QR",33.33333,74.37
"QR",19.04762,36.32
"QR",23.80952,48.47
"QR",33.33333,43.3
"QR",19.04762,23.37
"QR",38.09524,76.85
"QR",33.33333,24.22
"QR",38.09524,29.42
"QR",38.09524,35.8
"QR",23.80952,63
"QR",23.80952,33.2
"QR",28.57143,59.97
"QR",38.09524,26.08
"QR",23.80952,33.97
"QR",19.04762,55.88
"QR",38.09524,107.1
"QR",33.33333,NA
"QR",38.09524,39.93
"QR",38.09524,41.45
"QR",28.57143,110.87
"QR",28.57143,57.33
"QR",47.61905,35.95
"QR",47.61905,36.77
"QR",47.61905,21.07
"QR",38.09524,38.25
"QR",38.09524,27.75
"QR",28.57143,38.95
"QR",33.33333,25.2
"QR",47.61905,32.58
"QR",38.09524,25.32
"QR",38.09524,116.87
"QR",33.33333,30.5
"QR",23.80952,33.32
"QR",28.57143,86.73
"QR",33.33333,27.48
"QR",38.09524,39.17
"QR",42.85714,38.42
"QR",42.85714,27.53
"QR",38.09524,100.12
"QR",33.33333,79.85
"QR",38.09524,67.38
"QR",33.33333,30.27
"QR",42.85714,45.9
"QR",33.33333,31.6
"QR",42.85714,NA
"QR",42.85714,39.42
"QR",38.09524,45.17
"QR",61.90476,34.68
"QR",33.33333,92.15
"QR",61.90476,80.9
"QR",42.85714,131.05
"QR",38.09524,43.98
"QR",47.61905,78.07
"QR",42.85714,50.57
"QR",57.14286,32.43
"QR",57.14286,33.52
"QR",57.14286,22.12
"QR",52.38095,35.13
"QR",57.14286,41.93
"QR",57.14286,29.6
"QR",61.90476,51.62
"QR",61.90476,70.52
"QR",66.66667,34.1
"QR",66.66667,45.33
"QR",71.42857,43.77
"QR",80.95238,26.42
"QR",85.71429,34.47
"QR",90.47619,28.68
